dataset;datasetSize;method;window;relation;ts;query_time
finbench;50k;TD-Join;30;overlaps;balance;130
finbench;50k;STAMP;30;overlaps;balance;10187
finbench;50k;STOMP;30;overlaps;balance;15498
finbench;50k;TD-Join;30;meets;balance;45
finbench;50k;STAMP;30;meets;balance;34
finbench;50k;STOMP;30;meets;balance;36
finbench;50k;TD-Join;30;equal;balance;51
finbench;50k;STAMP;30;equal;balance;60
finbench;50k;STOMP;30;equal;balance;65
finbench;50k;TD-Join;30;before;balance;338
finbench;50k;STAMP;30;before;balance;9417
finbench;50k;STOMP;30;before;balance;15620
finbench;160k;TD-Join;30;overlaps;balance;111
finbench;160k;STAMP;30;overlaps;balance;16202
finbench;160k;STOMP;30;overlaps;balance;25091
finbench;160k;TD-Join;30;meets;balance;64
finbench;160k;STAMP;30;meets;balance;45
finbench;160k;STOMP;30;meets;balance;48
finbench;160k;TD-Join;30;equal;balance;55
finbench;160k;STAMP;30;equal;balance;103
finbench;160k;STOMP;30;equal;balance;122
finbench;160k;TD-Join;30;before;balance;339
finbench;160k;STAMP;30;before;balance;14667
finbench;160k;STOMP;30;before;balance;24890
finbench;500k;TD-Join;30;overlaps;balance;222
finbench;500k;STAMP;30;overlaps;balance;37882
finbench;500k;STOMP;30;overlaps;balance;62501
finbench;500k;TD-Join;30;meets;balance;139
finbench;500k;STAMP;30;meets;balance;109
finbench;500k;STOMP;30;meets;balance;108
finbench;500k;TD-Join;30;equal;balance;136
finbench;500k;STAMP;30;equal;balance;242
finbench;500k;STOMP;30;equal;balance;274
finbench;500k;TD-Join;30;before;balance;734
finbench;500k;STAMP;30;before;balance;39360
finbench;500k;STOMP;30;before;balance;66275
finbench;1M;TD-Join;30;overlaps;balance;626
finbench;1M;STAMP;30;overlaps;balance;109007
finbench;1M;STOMP;30;overlaps;balance;188129
finbench;1M;TD-Join;30;meets;balance;421
finbench;1M;STAMP;30;meets;balance;331
finbench;1M;STOMP;30;meets;balance;329
finbench;1M;TD-Join;30;equal;balance;441
finbench;1M;STAMP;30;equal;balance;774
finbench;1M;STOMP;30;equal;balance;870
finbench;1M;TD-Join;30;before;balance;2112
finbench;1M;STAMP;30;before;balance;113948
finbench;1M;STOMP;30;before;balance;187573
synthea;5k;TD-Join;4;overlaps;bmi;389
synthea;5k;STAMP;4;overlaps;bmi;2038
synthea;5k;STOMP;4;overlaps;bmi;1648
synthea;5k;TD-Join;4;meets;bmi;231
synthea;5k;STAMP;4;meets;bmi;166
synthea;5k;STOMP;4;meets;bmi;162
synthea;5k;TD-Join;4;equal;bmi;225
synthea;5k;STAMP;4;equal;bmi;126
synthea;5k;STOMP;4;equal;bmi;135
synthea;5k;TD-Join;4;before;bmi;233
synthea;5k;STAMP;4;before;bmi;1090
synthea;5k;STOMP;4;before;bmi;1644
synthea;10k;TD-Join;4;overlaps;bmi;726
synthea;10k;STAMP;4;overlaps;bmi;4214
synthea;10k;STOMP;4;overlaps;bmi;6212
synthea;10k;TD-Join;4;meets;bmi;735
synthea;10k;STAMP;4;meets;bmi;370
synthea;10k;STOMP;4;meets;bmi;358
synthea;10k;TD-Join;4;equal;bmi;686
synthea;10k;STAMP;4;equal;bmi;361
synthea;10k;STOMP;4;equal;bmi;366
synthea;10k;TD-Join;4;before;bmi;699
synthea;10k;STAMP;4;before;bmi;4260
synthea;10k;STOMP;4;before;bmi;6303
synthea;30k;TD-Join;4;overlaps;bmi;5076
synthea;30k;STAMP;4;overlaps;bmi;20042
synthea;30k;STOMP;4;overlaps;bmi;29128
synthea;30k;TD-Join;4;meets;bmi;4916
synthea;30k;STAMP;4;meets;bmi;2812
synthea;30k;STOMP;4;meets;bmi;2822
synthea;30k;TD-Join;4;equal;bmi;4913
synthea;30k;STAMP;4;equal;bmi;2830
synthea;30k;STOMP;4;equal;bmi;2829
synthea;30k;TD-Join;4;before;bmi;4922
synthea;30k;STAMP;4;before;bmi;20228
synthea;30k;STOMP;4;before;bmi;29254
synthea;100k;TD-Join;4;overlaps;bmi;51181
synthea;100k;STAMP;4;overlaps;bmi;208779
synthea;100k;STOMP;4;overlaps;bmi;305093
synthea;100k;TD-Join;4;meets;bmi;53030
synthea;100k;STAMP;4;meets;bmi;32713
synthea;100k;STOMP;4;meets;bmi;31530
synthea;100k;TD-Join;4;equal;bmi;52905
synthea;100k;STAMP;4;equal;bmi;31440
synthea;100k;STOMP;4;equal;bmi;32760
synthea;100k;TD-Join;4;before;bmi;51036
synthea;100k;STAMP;4;before;bmi;201504
synthea;100k;STOMP;4;before;bmi;304537
