dataset;algorithm;window;relation;ts;query_time
finbench_50k;STAMP;30;overlaps;balance;2310
finbench_50k;STOMP;30;overlaps;balance;3808
finbench_160k;STAMP;30;overlaps;balance;46335
finbench_160k;STOMP;30;overlaps;balance;73775
finbench_500k;STAMP;30;overlaps;balance;50275
finbench_500k;STOMP;30;overlaps;balance;78303
finbench_1m;STAMP;30;overlaps;balance;451906
finbench_1m;STOMP;30;overlaps;balance;1114363
synthea_100k;STAMP;5;overlaps;bmi;41073
synthea_100k;STOMP;5;overlaps;bmi;56298
synthea_5k;STAMP;5;overlaps;bmi;209
synthea_5k;STOMP;5;overlaps;bmi;296
synthea_10k;STAMP;5;overlaps;bmi;4274
synthea_10k;STOMP;5;overlaps;bmi;6433
synthea_30k;STAMP;5;overlaps;bmi;3593
synthea_30k;STOMP;5;overlaps;bmi;4980
finbench_50k;TD_JOIN;30;overlaps;balance;138
finbench_160k;TD_JOIN;30;overlaps;balance;1683
finbench_500k;TD_JOIN;30;overlaps;balance;2583
finbench_1m;TD_JOIN;30;overlaps;balance;18654
synthea_5k;TD_JOIN;5;overlaps;bmi;99
synthea_10k;TD_JOIN;5;overlaps;bmi;1458
synthea_30k;TD_JOIN;5;overlaps;bmi;1683
synthea_100k;TD_JOIN;5;overlaps;bmi;17867
