dataset;n;semantics;window;relation;ts;td_join_time_ms
bay;1;2cont;30;overlaps;hourly_speed;17.4446582
bay;1;cont;30;overlaps;hourly_speed;17.434450000000002
bay;2;2cont;30;overlaps;hourly_speed;35.166900600000005
bay;2;cont;30;overlaps;hourly_speed;17.4575
bay;3;2cont;30;overlaps;hourly_speed;52.5743662
bay;3;cont;30;overlaps;hourly_speed;17.562108000000002
bay;1;2cont;50;overlaps;hourly_speed;34.6475746
bay;1;cont;50;overlaps;hourly_speed;34.3469334
bay;2;2cont;50;overlaps;hourly_speed;69.2495
bay;2;cont;50;overlaps;hourly_speed;35.3168416
bay;3;2cont;50;overlaps;hourly_speed;106.76961659999999
bay;3;cont;50;overlaps;hourly_speed;35.2054172
bay;1;2cont;70;overlaps;hourly_speed;54.42793340000001
bay;1;cont;70;overlaps;hourly_speed;54.567049999999995
bay;2;2cont;70;overlaps;hourly_speed;109.9356
bay;2;cont;70;overlaps;hourly_speed;55.1510748
bay;3;2cont;70;overlaps;hourly_speed;166.0916082
bay;3;cont;70;overlaps;hourly_speed;54.447124800000005
bay;1;2cont;30;equal;hourly_speed;1.6066416000000001
bay;1;cont;30;equal;hourly_speed;1.5933918
bay;2;2cont;30;equal;hourly_speed;2.4510666
bay;2;cont;30;equal;hourly_speed;1.2313414
bay;3;2cont;30;equal;hourly_speed;4.197692
bay;3;cont;30;equal;hourly_speed;1.231475
bay;1;2cont;50;equal;hourly_speed;2.0749414
bay;1;cont;50;equal;hourly_speed;2.0697834
bay;2;2cont;50;equal;hourly_speed;3.8490248
bay;2;cont;50;equal;hourly_speed;1.8170666
bay;3;2cont;50;equal;hourly_speed;5.9531002
bay;3;cont;50;equal;hourly_speed;1.8191503999999998
bay;1;2cont;70;equal;hourly_speed;2.3502914
bay;1;cont;70;equal;hourly_speed;2.3843416
bay;2;2cont;70;equal;hourly_speed;5.4167082
bay;2;cont;70;equal;hourly_speed;2.7363582
bay;3;2cont;70;equal;hourly_speed;8.2093832
bay;3;cont;70;equal;hourly_speed;2.6884170000000003
bay;1;2cont;30;before;hourly_speed;1320.7008084000001
bay;1;cont;30;before;hourly_speed;1332.8897916
bay;2;2cont;30;before;hourly_speed;2591.12885
bay;2;cont;30;before;hourly_speed;1299.4436584
bay;3;2cont;30;before;hourly_speed;3898.4117668
bay;3;cont;30;before;hourly_speed;1289.5718916
bay;1;2cont;50;before;hourly_speed;2170.9894582
bay;1;cont;50;before;hourly_speed;2232.2653332
bay;2;2cont;50;before;hourly_speed;4790.3903838
bay;2;cont;50;before;hourly_speed;2243.8347999999996
bay;3;2cont;50;before;hourly_speed;6503.1964916
bay;3;cont;50;before;hourly_speed;2442.6324082
bay;1;2cont;70;before;hourly_speed;1637.07465
bay;1;cont;70;before;hourly_speed;1637.2566252000001
bay;2;2cont;70;before;hourly_speed;3272.7872832000003
bay;2;cont;70;before;hourly_speed;1638.5240751999997
bay;3;2cont;70;before;hourly_speed;4905.2941582
bay;3;cont;70;before;hourly_speed;1633.5360580000001
la;1;2cont;30;before;hourly_speed;554.1726418000001
la;1;cont;30;before;hourly_speed;550.7021252000001
la;2;2cont;30;before;hourly_speed;1103.5479836
la;2;cont;30;before;hourly_speed;552.036533
la;3;2cont;30;before;hourly_speed;1655.5013666
la;3;cont;30;before;hourly_speed;550.8148748
la;1;2cont;50;before;hourly_speed;865.4224
la;1;cont;50;before;hourly_speed;863.8959416
la;2;2cont;50;before;hourly_speed;1812.9872833999998
la;2;cont;50;before;hourly_speed;947.4403500000001
la;3;2cont;50;before;hourly_speed;2781.161492
la;3;cont;50;before;hourly_speed;898.5010662000001
la;1;2cont;70;before;hourly_speed;680.3846169999999
la;1;cont;70;before;hourly_speed;679.8913332
la;2;2cont;70;before;hourly_speed;1367.2555418
la;2;cont;70;before;hourly_speed;682.7125417999999
la;3;2cont;70;before;hourly_speed;2060.3819418
la;3;cont;70;before;hourly_speed;683.9191248
la;1;2cont;30;equal;hourly_speed;0.9741253999999999
la;1;cont;30;equal;hourly_speed;0.867975
la;2;2cont;30;equal;hourly_speed;1.7267915999999999
la;2;cont;30;equal;hourly_speed;0.8729336
la;3;2cont;30;equal;hourly_speed;2.6935332
la;3;cont;30;equal;hourly_speed;0.8786084000000001
la;1;2cont;50;equal;hourly_speed;1.266967
la;1;cont;50;equal;hourly_speed;1.291575
la;2;2cont;50;equal;hourly_speed;2.5261664
la;2;cont;50;equal;hourly_speed;1.2570831999999998
la;3;2cont;50;equal;hourly_speed;3.943183
la;3;cont;50;equal;hourly_speed;1.250742
la;1;2cont;70;equal;hourly_speed;1.59575
la;1;cont;70;equal;hourly_speed;1.6667580000000002
la;2;2cont;70;equal;hourly_speed;3.2466915999999997
la;2;cont;70;equal;hourly_speed;1.647317
