dataset;window;relation;ts;query_time
synthea_100k;4;overlaps;bmi;11031
synthea_100k;5;overlaps;bmi;9784
synthea_100k;7;overlaps;bmi;7826
synthea_100k;4;overlaps;bodyWeight;11054
synthea_100k;5;overlaps;bodyWeight;9950
synthea_100k;7;overlaps;bodyWeight;8439
synthea_100k;4;overlaps;bodyHeight;11097
synthea_100k;5;overlaps;bodyHeight;10162
synthea_100k;7;overlaps;bodyHeight;8028
synthea_100k;4;overlaps;heartRate;11721
synthea_100k;5;overlaps;heartRate;10641
synthea_100k;7;overlaps;heartRate;7968
synthea_100k;4;overlaps;respiratoryRate;11325
synthea_100k;5;overlaps;respiratoryRate;10357
synthea_100k;7;overlaps;respiratoryRate;8246
synthea_100k;4;before;bmi;11721
synthea_100k;5;before;bmi;9778
synthea_100k;7;before;bmi;7646
synthea_100k;4;before;bodyWeight;11607
synthea_100k;5;before;bodyWeight;10360
synthea_100k;7;before;bodyWeight;7809
synthea_100k;4;before;bodyHeight;11054
synthea_100k;5;before;bodyHeight;9430
synthea_100k;7;before;bodyHeight;7368
synthea_100k;4;before;heartRate;11291
synthea_100k;5;before;heartRate;9943
synthea_100k;7;before;heartRate;7392
synthea_100k;4;before;respiratoryRate;11435
synthea_100k;5;before;respiratoryRate;9799
synthea_100k;7;before;respiratoryRate;7573
synthea_100k;4;meets;bmi;9803
synthea_100k;5;meets;bmi;8560
synthea_100k;7;meets;bmi;6722
synthea_100k;4;meets;bodyWeight;10018
synthea_100k;5;meets;bodyWeight;8898
synthea_100k;7;meets;bodyWeight;6863
synthea_100k;4;meets;bodyHeight;10172
synthea_100k;5;meets;bodyHeight;8597
synthea_100k;7;meets;bodyHeight;6610
synthea_100k;4;meets;heartRate;9967
synthea_100k;5;meets;heartRate;8810
synthea_100k;7;meets;heartRate;6701
synthea_100k;4;meets;respiratoryRate;9979
synthea_100k;5;meets;respiratoryRate;8823
synthea_100k;7;meets;respiratoryRate;6699
synthea_100k;4;equal;bmi;9775
synthea_100k;5;equal;bmi;8533
synthea_100k;7;equal;bmi;6522
synthea_100k;4;equal;bodyWeight;9968
synthea_100k;5;equal;bodyWeight;8826
synthea_100k;7;equal;bodyWeight;6845
synthea_100k;4;equal;bodyHeight;9948
synthea_100k;5;equal;bodyHeight;8690
synthea_100k;7;equal;bodyHeight;6764
synthea_100k;4;equal;heartRate;10010
synthea_100k;5;equal;heartRate;8856
synthea_100k;7;equal;heartRate;6755
synthea_100k;4;equal;respiratoryRate;9979
synthea_100k;5;equal;respiratoryRate;8884
synthea_100k;7;equal;respiratoryRate;6747
finbench_5k;30;overlaps;balance;1205
finbench_5k;50;overlaps;balance;1877
finbench_5k;70;overlaps;balance;2757
finbench_5k;30;before;balance;5457
finbench_5k;50;before;balance;5609
finbench_5k;70;before;balance;5639
finbench_5k;30;meets;balance;264
finbench_5k;50;meets;balance;251
finbench_5k;70;meets;balance;242
finbench_5k;30;equal;balance;464
finbench_5k;50;equal;balance;456
finbench_5k;70;equal;balance;414
finbench_50k;30;overlaps;balance;1202
finbench_50k;50;overlaps;balance;1044
finbench_50k;70;overlaps;balance;1728
finbench_50k;30;before;balance;2588
finbench_50k;50;before;balance;2670
finbench_50k;70;before;balance;2562
finbench_50k;30;meets;balance;231
finbench_50k;50;meets;balance;226
finbench_50k;70;meets;balance;196
finbench_50k;30;equal;balance;341
finbench_50k;50;equal;balance;368
finbench_50k;70;equal;balance;298
finbench_160k;30;overlaps;balance;1578
finbench_160k;50;overlaps;balance;2428
finbench_160k;70;overlaps;balance;3103
finbench_160k;30;before;balance;6197
finbench_160k;50;before;balance;5837
finbench_160k;70;before;balance;5112
finbench_160k;30;meets;balance;387
finbench_160k;50;meets;balance;359
finbench_160k;70;meets;balance;321
finbench_160k;30;equal;balance;584
finbench_160k;50;equal;balance;564
finbench_160k;70;equal;balance;542
finbench_500k;30;overlaps;balance;2463
finbench_500k;50;overlaps;balance;3857
finbench_500k;70;overlaps;balance;4884
finbench_500k;30;before;balance;8773
finbench_500k;50;before;balance;7643
finbench_500k;70;before;balance;6295
finbench_500k;30;meets;balance;464
finbench_500k;50;meets;balance;435
finbench_500k;70;meets;balance;398
finbench_500k;30;equal;balance;790
finbench_500k;50;equal;balance;781
finbench_500k;70;equal;balance;743
synthea_5k;4;overlaps;bmi;65
synthea_5k;5;overlaps;bmi;64
synthea_5k;7;overlaps;bmi;47
synthea_5k;4;overlaps;bodyWeight;59
synthea_5k;5;overlaps;bodyWeight;56
synthea_5k;7;overlaps;bodyWeight;46
synthea_5k;4;overlaps;bodyHeight;50
synthea_5k;5;overlaps;bodyHeight;49
synthea_5k;7;overlaps;bodyHeight;47
synthea_5k;4;overlaps;heartRate;61
synthea_5k;5;overlaps;heartRate;55
synthea_5k;7;overlaps;heartRate;46
synthea_5k;4;overlaps;respiratoryRate;63
synthea_5k;5;overlaps;respiratoryRate;56
synthea_5k;7;overlaps;respiratoryRate;47
synthea_5k;4;before;bmi;55
synthea_5k;5;before;bmi;51
synthea_5k;7;before;bmi;54
synthea_5k;4;before;bodyWeight;92
synthea_5k;5;before;bodyWeight;62
synthea_5k;7;before;bodyWeight;85
synthea_5k;4;before;bodyHeight;54
synthea_5k;5;before;bodyHeight;51
synthea_5k;7;before;bodyHeight;42
synthea_5k;4;before;heartRate;62
synthea_5k;5;before;heartRate;55
synthea_5k;7;before;heartRate;44
synthea_5k;4;before;respiratoryRate;67
synthea_5k;5;before;respiratoryRate;59
synthea_5k;7;before;respiratoryRate;43
synthea_5k;4;meets;bmi;39
synthea_5k;5;meets;bmi;47
synthea_5k;7;meets;bmi;36
synthea_5k;4;meets;bodyWeight;46
synthea_5k;5;meets;bodyWeight;46
synthea_5k;7;meets;bodyWeight;38
synthea_5k;4;meets;bodyHeight;40
synthea_5k;5;meets;bodyHeight;39
synthea_5k;7;meets;bodyHeight;37
synthea_5k;4;meets;heartRate;45
synthea_5k;5;meets;heartRate;38
synthea_5k;7;meets;heartRate;35
synthea_5k;4;meets;respiratoryRate;43
synthea_5k;5;meets;respiratoryRate;41
synthea_5k;7;meets;respiratoryRate;35
synthea_5k;4;equal;bmi;44
synthea_5k;5;equal;bmi;40
synthea_5k;7;equal;bmi;33
synthea_5k;4;equal;bodyWeight;44
synthea_5k;5;equal;bodyWeight;42
synthea_5k;7;equal;bodyWeight;38
synthea_5k;4;equal;bodyHeight;42
synthea_5k;5;equal;bodyHeight;41
synthea_5k;7;equal;bodyHeight;35
synthea_5k;4;equal;heartRate;65
synthea_5k;5;equal;heartRate;42
synthea_5k;7;equal;heartRate;36
synthea_5k;4;equal;respiratoryRate;43
synthea_5k;5;equal;respiratoryRate;39
synthea_5k;7;equal;respiratoryRate;34
synthea_10k;4;overlaps;bmi;775
synthea_10k;5;overlaps;bmi;712
synthea_10k;7;overlaps;bmi;618
synthea_10k;4;overlaps;bodyWeight;794
synthea_10k;5;overlaps;bodyWeight;794
synthea_10k;7;overlaps;bodyWeight;631
synthea_10k;4;overlaps;bodyHeight;775
synthea_10k;5;overlaps;bodyHeight;742
synthea_10k;7;overlaps;bodyHeight;601
synthea_10k;4;overlaps;heartRate;762
synthea_10k;5;overlaps;heartRate;723
synthea_10k;7;overlaps;heartRate;623
synthea_10k;4;overlaps;respiratoryRate;755
synthea_10k;5;overlaps;respiratoryRate;706
synthea_10k;7;overlaps;respiratoryRate;636
synthea_10k;4;before;bmi;804
synthea_10k;5;before;bmi;732
synthea_10k;7;before;bmi;598
synthea_10k;4;before;bodyWeight;868
synthea_10k;5;before;bodyWeight;801
synthea_10k;7;before;bodyWeight;637
synthea_10k;4;before;bodyHeight;862
synthea_10k;5;before;bodyHeight;746
synthea_10k;7;before;bodyHeight;588
synthea_10k;4;before;heartRate;850
synthea_10k;5;before;heartRate;777
synthea_10k;7;before;heartRate;617
synthea_10k;4;before;respiratoryRate;874
synthea_10k;5;before;respiratoryRate;916
synthea_10k;7;before;respiratoryRate;669
synthea_10k;4;meets;bmi;655
synthea_10k;5;meets;bmi;584
synthea_10k;7;meets;bmi;500
synthea_10k;4;meets;bodyWeight;668
synthea_10k;5;meets;bodyWeight;615
synthea_10k;7;meets;bodyWeight;549
synthea_10k;4;meets;bodyHeight;643
synthea_10k;5;meets;bodyHeight;667
synthea_10k;7;meets;bodyHeight;598
synthea_10k;4;meets;heartRate;749
synthea_10k;5;meets;heartRate;654
synthea_10k;7;meets;heartRate;518
synthea_10k;4;meets;respiratoryRate;648
synthea_10k;5;meets;respiratoryRate;582
synthea_10k;7;meets;respiratoryRate;504
synthea_10k;4;equal;bmi;665
synthea_10k;5;equal;bmi;586
synthea_10k;7;equal;bmi;496
synthea_10k;4;equal;bodyWeight;633
synthea_10k;5;equal;bodyWeight;591
synthea_10k;7;equal;bodyWeight;501
synthea_10k;4;equal;bodyHeight;622
synthea_10k;5;equal;bodyHeight;574
synthea_10k;7;equal;bodyHeight;496
synthea_10k;4;equal;heartRate;636
synthea_10k;5;equal;heartRate;609
synthea_10k;7;equal;heartRate;577
synthea_10k;4;equal;respiratoryRate;725
