dataset;queryId;window;relation;ts;selectivity;query_time
synthea;1;4;overlaps;bmi;91090;1375
synthea;1;5;overlaps;bmi;91090;1270
synthea;1;7;overlaps;bmi;91090;1091
synthea;1;4;overlaps;bodyWeight;91090;1411
synthea;1;5;overlaps;bodyWeight;91090;1342
synthea;1;7;overlaps;bodyWeight;91090;1125
synthea;1;4;overlaps;bodyHeight;91090;1373
synthea;1;5;overlaps;bodyHeight;91090;1270
synthea;1;7;overlaps;bodyHeight;91090;1068
synthea;1;4;overlaps;heartRate;91090;1413
synthea;1;5;overlaps;heartRate;91090;1338
synthea;1;7;overlaps;heartRate;91090;1129
synthea;1;4;overlaps;respiratoryRate;91090;1442
synthea;1;5;overlaps;respiratoryRate;91090;1324
synthea;1;7;overlaps;respiratoryRate;91090;1125
synthea;1;4;before;bmi;91090;1670
synthea;1;5;before;bmi;91090;1474
synthea;1;7;before;bmi;91090;1177
synthea;1;4;before;bodyWeight;91090;1788
synthea;1;5;before;bodyWeight;91090;1590
synthea;1;7;before;bodyWeight;91090;1264
synthea;1;4;before;bodyHeight;91090;1669
synthea;1;5;before;bodyHeight;91090;1469
synthea;1;7;before;bodyHeight;91090;1178
synthea;1;4;before;heartRate;91090;1748
synthea;1;5;before;heartRate;91090;1548
synthea;1;7;before;heartRate;91090;1217
synthea;1;4;before;respiratoryRate;91090;1758
synthea;1;5;before;respiratoryRate;91090;1534
synthea;1;7;before;respiratoryRate;91090;1222
synthea;1;4;meets;bmi;91090;1208
synthea;1;5;meets;bmi;91090;1104
synthea;1;7;meets;bmi;91090;896
synthea;1;4;meets;bodyWeight;91090;1230
synthea;1;5;meets;bodyWeight;91090;1126
synthea;1;7;meets;bodyWeight;91090;935
synthea;1;4;meets;bodyHeight;91090;1216
synthea;1;5;meets;bodyHeight;91090;1105
synthea;1;7;meets;bodyHeight;91090;909
synthea;1;4;meets;heartRate;91090;1219
synthea;1;5;meets;heartRate;91090;1122
synthea;1;7;meets;heartRate;91090;935
synthea;1;4;meets;respiratoryRate;91090;1234
synthea;1;5;meets;respiratoryRate;91090;1128
synthea;1;7;meets;respiratoryRate;91090;932
synthea;1;4;equal;bmi;91090;1215
synthea;1;5;equal;bmi;91090;1114
synthea;1;7;equal;bmi;91090;896
synthea;1;4;equal;bodyWeight;91090;1236
synthea;1;5;equal;bodyWeight;91090;1132
synthea;1;7;equal;bodyWeight;91090;938
synthea;1;4;equal;bodyHeight;91090;1229
synthea;1;5;equal;bodyHeight;91090;1100
synthea;1;7;equal;bodyHeight;91090;913
synthea;1;4;equal;heartRate;91090;1234
synthea;1;5;equal;heartRate;91090;1149
synthea;1;7;equal;heartRate;91090;938
synthea;1;4;equal;respiratoryRate;91090;1222
synthea;1;5;equal;respiratoryRate;91090;1143
synthea;1;7;equal;respiratoryRate;91090;924
synthea;2;4;overlaps;bmi;42805;656
synthea;2;5;overlaps;bmi;42805;636
synthea;2;7;overlaps;bmi;42805;543
synthea;2;4;overlaps;bodyWeight;42805;679
synthea;2;5;overlaps;bodyWeight;42805;635
synthea;2;7;overlaps;bodyWeight;42805;564
synthea;2;4;overlaps;bodyHeight;42805;649
synthea;2;5;overlaps;bodyHeight;42805;619
synthea;2;7;overlaps;bodyHeight;42805;539
synthea;2;4;overlaps;heartRate;42805;676
synthea;2;5;overlaps;heartRate;42805;646
synthea;2;7;overlaps;heartRate;42805;554
synthea;2;4;overlaps;respiratoryRate;42805;672
synthea;2;5;overlaps;respiratoryRate;42805;651
synthea;2;7;overlaps;respiratoryRate;42805;557
synthea;2;4;before;bmi;42805;730
synthea;2;5;before;bmi;42805;651
synthea;2;7;before;bmi;42805;525
synthea;2;4;before;bodyWeight;42805;781
synthea;2;5;before;bodyWeight;42805;689
synthea;2;7;before;bodyWeight;42805;572
synthea;2;4;before;bodyHeight;42805;724
synthea;2;5;before;bodyHeight;42805;658
synthea;2;7;before;bodyHeight;42805;536
synthea;2;4;before;heartRate;42805;763
synthea;2;5;before;heartRate;42805;679
synthea;2;7;before;heartRate;42805;540
synthea;2;4;before;respiratoryRate;42805;768
synthea;2;5;before;respiratoryRate;42805;698
synthea;2;7;before;respiratoryRate;42805;553
synthea;2;4;meets;bmi;42805;570
synthea;2;5;meets;bmi;42805;519
synthea;2;7;meets;bmi;42805;444
synthea;2;4;meets;bodyWeight;42805;593
synthea;2;5;meets;bodyWeight;42805;553
synthea;2;7;meets;bodyWeight;42805;464
synthea;2;4;meets;bodyHeight;42805;568
synthea;2;5;meets;bodyHeight;42805;517
synthea;2;7;meets;bodyHeight;42805;444
synthea;2;4;meets;heartRate;42805;577
synthea;2;5;meets;heartRate;42805;552
synthea;2;7;meets;heartRate;42805;458
synthea;2;4;meets;respiratoryRate;42805;575
synthea;2;5;meets;respiratoryRate;42805;538
synthea;2;7;meets;respiratoryRate;42805;452
synthea;2;4;equal;bmi;42805;573
synthea;2;5;equal;bmi;42805;528
synthea;2;7;equal;bmi;42805;449
synthea;2;4;equal;bodyWeight;42805;572
synthea;2;5;equal;bodyWeight;42805;538
synthea;2;7;equal;bodyWeight;42805;459
synthea;2;4;equal;bodyHeight;42805;576
synthea;2;5;equal;bodyHeight;42805;548
synthea;2;7;equal;bodyHeight;42805;454
synthea;2;4;equal;heartRate;42805;569
synthea;2;5;equal;heartRate;42805;546
synthea;2;7;equal;heartRate;42805;455
synthea;2;4;equal;respiratoryRate;42805;571
synthea;2;5;equal;respiratoryRate;42805;539
synthea;2;7;equal;respiratoryRate;42805;446
synthea;3;4;overlaps;bmi;322535;5713
synthea;3;5;overlaps;bmi;322535;5736
synthea;3;7;overlaps;bmi;322535;5292
synthea;3;4;overlaps;bodyWeight;322535;5900
synthea;3;5;overlaps;bodyWeight;322535;5929
synthea;3;7;overlaps;bodyWeight;322535;5521
synthea;3;4;overlaps;bodyHeight;322535;5415
synthea;3;5;overlaps;bodyHeight;322535;5464
synthea;3;7;overlaps;bodyHeight;322535;5268
synthea;3;4;overlaps;heartRate;322535;8422
synthea;3;5;overlaps;heartRate;322535;11919
synthea;3;7;overlaps;heartRate;322535;6070
synthea;3;4;overlaps;respiratoryRate;322535;307587
synthea;3;5;overlaps;respiratoryRate;322535;7561
synthea;3;7;overlaps;respiratoryRate;322535;5953
synthea;3;4;before;bmi;322535;9226
synthea;3;5;before;bmi;322535;8897
synthea;3;7;before;bmi;322535;7961
synthea;3;4;before;bodyWeight;322535;12923
synthea;3;5;before;bodyWeight;322535;12990
synthea;3;7;before;bodyWeight;322535;12166
synthea;3;4;before;bodyHeight;322535;14238
synthea;3;5;before;bodyHeight;322535;13422
synthea;3;7;before;bodyHeight;322535;12281
synthea;3;4;before;heartRate;322535;20875
synthea;3;5;before;heartRate;322535;19320
synthea;3;7;before;heartRate;322535;14730
synthea;3;4;before;respiratoryRate;322535;22400
synthea;3;5;before;respiratoryRate;322535;19495
synthea;3;7;before;respiratoryRate;322535;14757
synthea;3;4;meets;bmi;322535;9132
synthea;3;5;meets;bmi;322535;8617
synthea;3;7;meets;bmi;322535;9101
synthea;3;4;meets;bodyWeight;322535;9828
synthea;3;5;meets;bodyWeight;322535;9972
synthea;3;7;meets;bodyWeight;322535;9762
synthea;3;4;meets;bodyHeight;322535;10568
synthea;3;5;meets;bodyHeight;322535;10463
synthea;3;7;meets;bodyHeight;322535;9740
synthea;3;4;meets;heartRate;322535;10384
synthea;3;5;meets;heartRate;322535;10711
synthea;3;7;meets;heartRate;322535;10045
synthea;3;4;meets;respiratoryRate;322535;10490
synthea;3;5;meets;respiratoryRate;322535;10326
synthea;3;7;meets;respiratoryRate;322535;10000
synthea;3;4;equal;bmi;322535;10398
synthea;3;5;equal;bmi;322535;10388
synthea;3;7;equal;bmi;322535;10049
synthea;3;4;equal;bodyWeight;322535;11094
synthea;3;5;equal;bodyWeight;322535;10901
synthea;3;7;equal;bodyWeight;322535;10396
synthea;3;4;equal;bodyHeight;322535;10899
synthea;3;5;equal;bodyHeight;322535;309444
synthea;3;7;equal;bodyHeight;322535;4354
synthea;3;4;equal;heartRate;322535;4723
synthea;3;5;equal;heartRate;322535;4678
synthea;3;7;equal;heartRate;322535;4341
synthea;3;4;equal;respiratoryRate;322535;4713
synthea;3;5;equal;respiratoryRate;322535;4745
synthea;3;7;equal;respiratoryRate;322535;4421
synthea;4;4;overlaps;bmi;181221;3047
synthea;4;5;overlaps;bmi;181221;2929
synthea;4;7;overlaps;bmi;181221;2685
synthea;4;4;overlaps;bodyWeight;181221;3337
synthea;4;5;overlaps;bodyWeight;181221;3272
synthea;4;7;overlaps;bodyWeight;181221;3018
synthea;4;4;overlaps;bodyHeight;181221;3441
synthea;4;5;overlaps;bodyHeight;181221;3427
synthea;4;7;overlaps;bodyHeight;181221;3132
synthea;4;4;overlaps;heartRate;181221;3939
synthea;4;5;overlaps;heartRate;181221;4011
synthea;4;7;overlaps;heartRate;181221;3656
synthea;4;4;overlaps;respiratoryRate;181221;4605
synthea;4;5;overlaps;respiratoryRate;181221;4330
synthea;4;7;overlaps;respiratoryRate;181221;3939
synthea;4;4;before;bmi;181221;5438
synthea;4;5;before;bmi;181221;5056
synthea;4;7;before;bmi;181221;4487
synthea;4;4;before;bodyWeight;181221;6235
synthea;4;5;before;bodyWeight;181221;5719
synthea;4;7;before;bodyWeight;181221;5013
synthea;4;4;before;bodyHeight;181221;5593
synthea;4;5;before;bodyHeight;181221;5402
synthea;4;7;before;bodyHeight;181221;4668
synthea;4;4;before;heartRate;181221;6496
synthea;4;5;before;heartRate;181221;5744
synthea;4;7;before;heartRate;181221;4987
synthea;4;4;before;respiratoryRate;181221;6673
synthea;4;5;before;respiratoryRate;181221;5945
synthea;4;7;before;respiratoryRate;181221;5083
synthea;4;4;meets;bmi;181221;4122
synthea;4;5;meets;bmi;181221;3916
synthea;4;7;meets;bmi;181221;3578
synthea;4;4;meets;bodyWeight;181221;4449
synthea;4;5;meets;bodyWeight;181221;4489
synthea;4;7;meets;bodyWeight;181221;3953
synthea;4;4;meets;bodyHeight;181221;4344
synthea;4;5;meets;bodyHeight;181221;4030
synthea;4;7;meets;bodyHeight;181221;3819
synthea;4;4;meets;heartRate;181221;4365
synthea;4;5;meets;heartRate;181221;4149
synthea;4;7;meets;heartRate;181221;3664
synthea;4;4;meets;respiratoryRate;181221;4423
synthea;4;5;meets;respiratoryRate;181221;4298
synthea;4;7;meets;respiratoryRate;181221;3810
synthea;4;4;equal;bmi;181221;4238
synthea;4;5;equal;bmi;181221;3988
synthea;4;7;equal;bmi;181221;3631
synthea;4;4;equal;bodyWeight;181221;4892
synthea;4;5;equal;bodyWeight;181221;4695
synthea;4;7;equal;bodyWeight;181221;4111
synthea;4;4;equal;bodyHeight;181221;4805
synthea;4;5;equal;bodyHeight;181221;4253
synthea;4;7;equal;bodyHeight;181221;3926
synthea;4;4;equal;heartRate;181221;4447
synthea;4;5;equal;heartRate;181221;4099
synthea;4;7;equal;heartRate;181221;3807
synthea;4;4;equal;respiratoryRate;181221;4562
synthea;4;5;equal;respiratoryRate;181221;4389
synthea;4;7;equal;respiratoryRate;181221;3831
la;1;30;overlaps;hourly_speed;56;6605
la;1;50;overlaps;hourly_speed;56;11455
la;1;70;overlaps;hourly_speed;56;17747
la;1;30;before;hourly_speed;56;84963
la;1;50;before;hourly_speed;56;118391
la;1;70;before;hourly_speed;56;147677
la;1;30;meets;hourly_speed;56;2959
la;1;50;meets;hourly_speed;56;3278
la;1;70;meets;hourly_speed;56;3212
la;1;30;equal;hourly_speed;56;4330
la;1;50;equal;hourly_speed;56;4696
la;1;70;equal;hourly_speed;56;4792
la;2;30;overlaps;hourly_speed;112;18355
la;2;50;overlaps;hourly_speed;112;31807
la;2;70;overlaps;hourly_speed;112;49316
la;2;30;before;hourly_speed;112;234568
la;2;50;before;hourly_speed;112;323113
la;2;70;before;hourly_speed;112;403035
la;2;30;meets;hourly_speed;112;8173
la;2;50;meets;hourly_speed;112;8993
la;2;70;meets;hourly_speed;112;8805
la;2;30;equal;hourly_speed;112;12023
la;2;50;equal;hourly_speed;112;12994
la;2;70;equal;hourly_speed;112;13292
la;3;30;overlaps;hourly_speed;27;8746
la;3;50;overlaps;hourly_speed;27;15184
la;3;70;overlaps;hourly_speed;27;23581
la;3;30;before;hourly_speed;27;113083
la;3;50;before;hourly_speed;27;155177
la;3;70;before;hourly_speed;27;190016
la;3;30;meets;hourly_speed;27;1962
la;3;50;meets;hourly_speed;27;2168
la;3;70;meets;hourly_speed;27;2117
la;3;30;equal;hourly_speed;27;5812
la;3;50;equal;hourly_speed;27;6271
la;3;70;equal;hourly_speed;27;6432
la;4;30;overlaps;hourly_speed;42;4617
la;4;50;overlaps;hourly_speed;42;8040
la;4;70;overlaps;hourly_speed;42;12449
la;4;30;before;hourly_speed;42;59527
la;4;50;before;hourly_speed;42;83444
la;4;70;before;hourly_speed;42;104072
la;4;30;meets;hourly_speed;42;2056
la;4;50;meets;hourly_speed;42;2285
la;4;70;meets;hourly_speed;42;2249
la;4;30;equal;hourly_speed;42;3030
la;4;50;equal;hourly_speed;42;3285
la;4;70;equal;hourly_speed;42;3364
bay;1;30;overlaps;hourly_speed;67;20101
bay;1;50;overlaps;hourly_speed;67;32655
bay;1;70;overlaps;hourly_speed;67;48704
bay;1;30;before;hourly_speed;67;331061
bay;1;50;before;hourly_speed;67;460560
bay;1;70;before;hourly_speed;67;580482
bay;1;30;meets;hourly_speed;67;11045
bay;1;50;meets;hourly_speed;67;12358
bay;1;70;meets;hourly_speed;67;12116
bay;1;30;equal;hourly_speed;67;15845
bay;1;50;equal;hourly_speed;67;17104
bay;1;70;equal;hourly_speed;67;17293
bay;2;30;overlaps;hourly_speed;30;9028
bay;2;50;overlaps;hourly_speed;30;14609
bay;2;70;overlaps;hourly_speed;30;21818
bay;2;30;before;hourly_speed;30;148248
bay;2;50;before;hourly_speed;30;206984
bay;2;70;before;hourly_speed;30;258610
bay;2;30;meets;hourly_speed;30;4949
bay;2;50;meets;hourly_speed;30;5506
bay;2;70;meets;hourly_speed;30;5461
bay;2;30;equal;hourly_speed;30;7056
bay;2;50;equal;hourly_speed;30;7633
bay;2;70;equal;hourly_speed;30;7730
bay;3;30;overlaps;hourly_speed;20;3235
bay;3;50;overlaps;hourly_speed;20;4508
bay;3;70;overlaps;hourly_speed;20;7906
bay;3;30;before;hourly_speed;20;46609
bay;3;50;before;hourly_speed;20;65078
bay;3;70;before;hourly_speed;20;85072
bay;3;30;meets;hourly_speed;20;1531
bay;3;50;meets;hourly_speed;20;1731
bay;3;70;meets;hourly_speed;20;1711
bay;3;30;equal;hourly_speed;20;1921
bay;3;50;equal;hourly_speed;20;3269
bay;3;70;equal;hourly_speed;20;3207
bay;4;30;overlaps;hourly_speed;10;1646
bay;4;50;overlaps;hourly_speed;10;4283
bay;4;70;overlaps;hourly_speed;10;5423
bay;4;30;before;hourly_speed;10;37896
bay;4;50;before;hourly_speed;10;49379
bay;4;70;before;hourly_speed;10;53545
bay;4;30;meets;hourly_speed;10;1077
bay;4;50;meets;hourly_speed;10;1263
bay;4;70;meets;hourly_speed;10;1295
bay;4;30;equal;hourly_speed;10;1601
bay;4;50;equal;hourly_speed;10;2085
bay;4;70;equal;hourly_speed;10;2245
finbench;1;30;overlaps;balance;456095;5276
finbench;1;50;overlaps;balance;456095;6876
finbench;1;70;overlaps;balance;456095;8403
finbench;1;30;before;balance;456095;11363
finbench;1;50;before;balance;456095;10940
finbench;1;70;before;balance;456095;10089
finbench;1;30;meets;balance;456095;3275
finbench;1;50;meets;balance;456095;3238
finbench;1;70;meets;balance;456095;3217
finbench;1;30;equal;balance;456095;3605
finbench;1;50;equal;balance;456095;3608
finbench;1;70;equal;balance;456095;3566
finbench;2;30;overlaps;balance;483343;5485
finbench;2;50;overlaps;balance;483343;7170
finbench;2;70;overlaps;balance;483343;8862
finbench;2;30;before;balance;483343;11899
finbench;2;50;before;balance;483343;11428
finbench;2;70;before;balance;483343;10481
finbench;2;30;meets;balance;483343;3489
finbench;2;50;meets;balance;483343;3489
finbench;2;70;meets;balance;483343;3448
finbench;2;30;equal;balance;483343;3832
finbench;2;50;equal;balance;483343;3868
finbench;2;70;equal;balance;483343;3849
finbench;3;30;overlaps;balance;794180;8603
finbench;3;50;overlaps;balance;794180;11204
finbench;3;70;overlaps;balance;794180;13745
finbench;3;30;before;balance;794180;19749
finbench;3;50;before;balance;794180;19634
finbench;3;70;before;balance;794180;17772
finbench;3;30;meets;balance;794180;5686
finbench;3;50;meets;balance;794180;5464
finbench;3;70;meets;balance;794180;5256
finbench;3;30;equal;balance;794180;5830
finbench;3;50;equal;balance;794180;5823
finbench;3;70;equal;balance;794180;5788
finbench;4;30;overlaps;balance;884665;7266
finbench;4;50;overlaps;balance;884665;9388
finbench;4;70;overlaps;balance;884665;11230
finbench;4;30;before;balance;884665;15491
finbench;4;50;before;balance;884665;14821
finbench;4;70;before;balance;884665;13672
finbench;4;30;meets;balance;884665;4778
finbench;4;50;meets;balance;884665;4970
finbench;4;70;meets;balance;884665;4703
finbench;4;30;equal;balance;884665;5361
finbench;4;50;equal;balance;884665;5669
finbench;4;70;equal;balance;884665;5239
nyc;1;30;overlaps;num_bikes_available;2070;16157
nyc;1;50;overlaps;num_bikes_available;2070;30784
nyc;1;70;overlaps;num_bikes_available;2070;47967
nyc;1;30;overlaps;num_docks_disabled;2070;39
nyc;1;50;overlaps;num_docks_disabled;2070;26
nyc;1;70;overlaps;num_docks_disabled;2070;26
nyc;1;30;overlaps;num_bikes_disabled;2070;3810
nyc;1;50;overlaps;num_bikes_disabled;2070;5389
nyc;1;70;overlaps;num_bikes_disabled;2070;5527
nyc;1;30;overlaps;num_ebikes_available;2070;16091
nyc;1;50;overlaps;num_ebikes_available;2070;30566
nyc;1;70;overlaps;num_ebikes_available;2070;47724
nyc;1;30;before;num_bikes_available;2070;55675
nyc;1;50;before;num_bikes_available;2070;66601
nyc;1;70;before;num_bikes_available;2070;71556
nyc;1;30;before;num_docks_disabled;2070;25
nyc;1;50;before;num_docks_disabled;2070;24
nyc;1;70;before;num_docks_disabled;2070;24
nyc;1;30;before;num_bikes_disabled;2070;2867
nyc;1;50;before;num_bikes_disabled;2070;2045
nyc;1;70;before;num_bikes_disabled;2070;1368
nyc;1;30;before;num_ebikes_available;2070;53736
nyc;1;50;before;num_ebikes_available;2070;63793
nyc;1;70;before;num_ebikes_available;2070;68248
nyc;1;30;meets;num_bikes_available;2070;3018
nyc;1;50;meets;num_bikes_available;2070;2859
nyc;1;70;meets;num_bikes_available;2070;2644
nyc;1;30;meets;num_docks_disabled;2070;25
nyc;1;50;meets;num_docks_disabled;2070;24
nyc;1;70;meets;num_docks_disabled;2070;24
nyc;1;30;meets;num_bikes_disabled;2070;441
